Topic,Subtopic,Key,Value,Success,Failure,Bookmarked
English,Prepositions,Anxious,about,0,0,False
English,Prepositions,Anxious,for,0,0,False
English,Prepositions,Apart,from,0,0,False
English,Prepositions,Apathy,towards,0,0,False
English,Prepositions,Apologize,to/for,0,0,False
English,Prepositions,Appall,"at (not listed, but inferred from Alarmed/Amazed pattern)",0,0,False
English,Prepositions,Appear,in/before,0,0,False
English,Prepositions,Appeal,to/for,0,0,False
English,Prepositions,Append,to,0,0,False
English,Prepositions,Appendix,to,0,0,False
English,Prepositions,Appetite,for,0,0,False
English,Prepositions,Apply,to/for,0,0,False
English,Prepositions,Appoint,to,0,0,False
English,Prepositions,Apprehensive,of/about,0,0,False
English,Prepositions,Apprised,of,0,0,False
English,Prepositions,Appropriate,to,0,0,False
English,Prepositions,Approve,of,0,0,False
English,Prepositions,Aptitude,for,0,0,False
English,Prepositions,Argue,with,0,0,False
English,Prepositions,Arrange,for,0,0,False
English,Prepositions,Arrive,at,0,0,False
English,Prepositions,Ascribe,to,0,0,False
English,Prepositions,Ashamed,of,0,0,False
English,Prepositions,Ask,about,0,0,False
English,Prepositions,Ask,for,0,0,False
English,Prepositions,Aspirant,to,0,0,False
English,Prepositions,Aspiration,for,0,0,False
English,Prepositions,Aspire,to,0,0,False
English,Prepositions,Assent,to,0,0,False
English,Prepositions,Assign,to,0,0,False
English,Prepositions,Assist,in,0,0,False
English,Prepositions,Associate,with/in,0,0,False
English,Prepositions,Astonished,at,0,0,False
English,Prepositions,Assure,of,0,0,False
English,Prepositions,Attach,to,0,0,False
English,Prepositions,Attacked,by,0,0,False
English,Prepositions,Attacked,with,0,0,False
English,Prepositions,Attend,on/upon,0,0,False
English,Prepositions,Attend,to,0,0,False
English,Prepositions,Attention,to,0,0,False
English,Prepositions,Attentive,to,0,0,False
English,Prepositions,Attest,to,0,0,False
English,Prepositions,Attribute,to,0,0,False
English,Prepositions,Attuned,to,0,0,False
English,Prepositions,Authority,for,0,0,False
English,Prepositions,Authority,on,0,0,False
English,Prepositions,Authority,over,0,0,False
English,Prepositions,Authority,to,0,0,False
English,Prepositions,Avail,of,0,0,False
English,Prepositions,Available,to,0,0,False
English,Prepositions,Avenge,on,0,0,False
English,Prepositions,Averse,to,0,0,False
English,Prepositions,Aversion,to,0,0,False
English,Prepositions,Aware,of,0,0,False
English,Prepositions,Beat,about,0,0,False
English,Prepositions,Bias,against,0,0,False
English,Prepositions,Bark,at,0,0,False
English,Prepositions,Beset,by,0,0,False
English,Prepositions,Beset,with,0,0,False
English,Prepositions,Beg,for,0,0,False
English,Prepositions,Beg,of,0,0,False
English,Prepositions,Bound,for,0,0,False
English,Prepositions,Ban,from,0,0,False
English,Prepositions,Ban,on,0,0,False
English,Prepositions,Borrow,from,0,0,False
English,Prepositions,Buy,from,0,0,False
English,Prepositions,Buy,of,0,0,False
English,Prepositions,Bask,in,0,0,False
English,Prepositions,Believe,in,0,0,False
English,Prepositions,Blind,in,0,0,False
English,Prepositions,Blind,to,0,0,False
English,Prepositions,Born,in,0,0,False
English,Prepositions,Born,into,0,0,False
English,Prepositions,Born,of,0,0,False
English,Prepositions,Born,to,0,0,False
English,Prepositions,Burst,into,0,0,False
English,Prepositions,Burst,out,0,0,False
English,Prepositions,Bereft,of,0,0,False
English,Prepositions,Beware,of,0,0,False
English,Prepositions,Boast,of,0,0,False
English,Prepositions,Based,on,0,0,False
English,Prepositions,Bent,on,0,0,False
English,Prepositions,Bent,upon,0,0,False
English,Prepositions,Border,on,0,0,False
English,Prepositions,Brood,on,0,0,False
English,Prepositions,Bar,to,0,0,False
English,Prepositions,Belong,to,0,0,False
English,Prepositions,Beneficial,to,0,0,False
English,Prepositions,Bequeath,to,0,0,False
English,Prepositions,Bow,to,0,0,False
English,Prepositions,Bestow,upon,0,0,False
English,Prepositions,Blessed,with,0,0,False
English,Prepositions,Blush,with,0,0,False
English,Prepositions,Burdened,with,0,0,False
English,Prepositions,Busy,with,0,0,False
English,Prepositions,Conformity,with,0,0,False
English,Prepositions,Conformity,with,0,0,False
English,Prepositions,Conformity,with,0,0,False
